Key (128 in total):
222,198,167,36,127,109,88,102,253,98,
62,153,13,120,201,135,25,94,126,174,
36,46,205,253,92,77,228,45,57,42,
129,113,238,63,189,191,10,242,157,45,
96,4,57,220,40,226,75,249,33,67,
84,145,140,152,41,136,212,211,205,24,
255,59,97,101,214,172,252,171,144,148,
146,180,213,81,211,252,236,94,197,211,
53,18,253,28,221,66,68,35,139,45,
190,59,236,58,154,136,238,23,238,76,
188,214,184,76,125,125,204,206,138,89,
200,225,255,164,3,75,127,9,54,130,
57,175,200,56,49,43,125,0,118,189,
181,190,70,96,39,63,210,54,205,86,
205,246,246,19,191,204,70,147,194,250,
180,17,169,209,147,170,86,137,64,34,
73,144,131,65,127,216,81,81,49,90,
23,77,142,125,134,87,14,213,140,156,
143,213,126,96,58,10,32,164,203,6,
182,246,82,171,31,20,15,86,141,124,
150,120,254,151,61,54,10,12,108,65,
58,187,227,134,236,255,165,65,87,111,
154,255,195,175,15,35,170,230,135,45,
205,101,12,75,105,17,163,215,250,207,
242,62,193,116,77,242,175,236,139,153,
185,3,223,254,221,123,89,128,45,161,
15,92,21,221,50,138,151,11,112,82,
101,229,205,36,42,69,179,114,95,96,
34,225,219,126,72,139,212,252,242,130,
70,221,229,10,251,182,0,94,180,13,
235,71,115,190,186,77,211,33,234,149,
43,68,187,16,226,3,222,160,100,7,
46,155,174,89,214,97,112,48,89,36,
123,80,116,126,216,204,211,130,9,43,
84,157,91,168,49,32,80,35,148,105,
215,38,127,97,168,215,11,250,79,192,
176,239,197,51,247,193,165,240,27,191,
166,64,115,239,195,158,190,123,144,162,
236,202,151,8,225,112,215,136,152,161,
3,145,150,245,248,26,190,71,214,61,
36,183,163,92,85,250,150,165,133,187,
157,250,137,199,154,98,175,207,196,208,
31,217,21,241,41,115,214,212,251,126,
245,127,160,64,134,132,99,146,236,114,
57,53,143,202,150,109,49,81,40,185,
140,202,97,72,153,51,228,14,6,100,
114,136,171,164,202,54,50,39,236,196,
114,113,171,93,11,182,160,52,147,42,
33,36,102,179,170,154,5,25,36,164,
197,136,3,170,44,160,65,226,108,234,
215,85,241,45,54,177,22,207,20,200,
144,250,140,35,23,209,168,233,172,149,
225,201,109,26,27,51,15,213,127,191,
148,40,35,39,188,62,154,26,148,88,
250,140,13,235,228,212,197,213,231,127,
128,82,41,48,225,1,135,219,198,213,
159,255,32,93,94,42,138,163,112,179,
7,75,111,5,129,52,7,192,115,161,
144,94,132,31,155,151,103,142,243,141,
99,233,203,249,23,15,115,182,238,145,
243,76,0,198,34,192,192,119,177,164,
195,206,220,173,81,207,50,40,36,70,
168,232,8,129,197,8,220,47,50,88,
24,237,108,221,171,237,31,183,128,135,
57,235,101,29,161,151,218,166,205,62,
213,91,255,183,113,16,168,249,183,226,
254,74,75,204,192,98,138,85,86,21,
14,230,11,52,168,79,6,185,247,21,
224,228,79,54,238,195,175,123,115,196,
130,249,84,254,100,61,40,71,4,190,
72,181,205,80,43,21,44,155,29,219,
17,64,247,93,255,51,190,73,187,209,
184,21,51,128,74,215,148,197,196,35,
19,155,148,170,189,111,243,156,121,95,
134,121,175,129,57,219,165,41,159,177,
28,216,37,207,87,113,72,181,243,22,
68,68,205,153,110,247,45,106,163,2,
167,176,255,71,237,37,30,14,235,24,
80,23,122,138,255,198,208,68,159,159,
40,146,119,45,223,82,97,27,85,145,
9,49,237,218,222,232,62,241,6,205,
6,180,177,208,18,211,224,71,100,152,
45,81,251,216,195,81,75,220,218,189,
253,232,22,80,25,24,205,121,247,213,
224,164,78,235,55,30,118,24,70,203,
108,192,241,193,201,112,225,158,247,120,
219,57,11,173,78,112,77,32,89,67,
2,117,186,89,177,149,173,191,27,234,
67,125,93,75,130,208,69,97,111,43,
94,24,129,37,254,8,141,31,141,209,
165,64,100,175,60,157,114,9,190,154,
12,138,3,195,71,178,203,220,3,217,
160,195,18,236,131,2,169,161,142,19,
117,189,237,169,188,76,97,160,180,197,
175,74,109,122,77,238,140,237,150,108,
46,189,191,112,67,11,236,208,190,69,
165,186,185,183,6,156,254,147,3,181,
51,254,219,169,251,32,63,206,112,23,
71,187,10,45,177,30,120,14,167,179,
137,120,62,187,164,115,34,186,251,241,
148,234,195,37,54,116,208,101,207,87,
204,5,92,68,116,47,185,64,13,177,
54,135,113,253,93,164,227,44,67,200,
31,138,166,137,208,142,21,237,214,86,
148,54,155,202,230,99,167,77,233,107,
3,105,59,103,109,119,101,136,238,63,
18,66,242,193,86,190,37,21,151,121,
159,183,60,85,96,90,91,250,172,52,
250,233,111,231,226,80,220,18,136,155,
232,189,77,225,138,219,43,59,92,182,
136,49,207,136,5,129,11,47,250,15,
53,68,185,68,246,194,194,195,230,26,
160,197,5,250,65,69,101,160,119,214,
183,33,195,114,157,178,150,10,86,231,
176,89,7,36,133,237,169,16,62,103,
94,143,153,54,12,45,166,139,205,1,
50,23,139,78,184,122,167,154,97,106,
161,210,120,217,121,88,35,207,97,20,
94,146,41,186,243,249,42,10,254,254,
180,154,108,206,190,15,59,5,89,211,
127,196,101,135,224,104,71,229,39,7,
159,185,66,229,187,188,146,155,90,117,
113,146,33,84,190,164,157,186,240,0,
193,152,32,137,161,120,223,100,253,0,
200,87,251,55,146,217,245,58,41,217,
61,250,64,133,164,242,52,198,68,212,
32,254,10,113,251,5,203,154,54,91,
204,131,89,208,148,164,107,108,127,11,






Results (0 means the result is constant 0)
1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,
1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,
0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,
1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,
1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,
1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,
1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,
1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,
1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,
0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,
